"filename", "language", "Markdown", "JSON", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Back\Auth\AuthHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Airis\Desktop\Back\Auth\Model\CustomClaims.cs", "C#", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Airis\Desktop\Back\Auth\Model\IUserOwnedresource.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Airis\Desktop\Back\Auth\Model\PolicyNames.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Airis\Desktop\Back\Auth\Model\UserRoles.cs", "C#", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\Airis\Desktop\Back\Auth\TokenManager.cs", "C#", 0, 0, 52, 0, 0, 0, 6, 58
"c:\Users\Airis\Desktop\Back\Controllers\AuthController.cs", "C#", 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\Airis\Desktop\Back\Controllers\CinemaController.cs", "C#", 0, 0, 63, 0, 0, 3, 17, 83
"c:\Users\Airis\Desktop\Back\Controllers\CommentController.cs", "C#", 0, 0, 82, 0, 0, 2, 22, 106
"c:\Users\Airis\Desktop\Back\Controllers\CommentRatingController.cs", "C#", 0, 0, 55, 0, 0, 0, 18, 73
"c:\Users\Airis\Desktop\Back\Controllers\GeneralMovieController.cs", "C#", 0, 0, 40, 0, 0, 0, 5, 45
"c:\Users\Airis\Desktop\Back\Controllers\MovieController.cs", "C#", 0, 0, 118, 0, 0, 0, 30, 148
"c:\Users\Airis\Desktop\Back\Controllers\MovieMarkController.cs", "C#", 0, 0, 55, 0, 0, 1, 13, 69
"c:\Users\Airis\Desktop\Back\Controllers\ReviewController.cs", "C#", 0, 0, 70, 0, 0, 2, 18, 90
"c:\Users\Airis\Desktop\Back\Controllers\ScreeningController.cs", "C#", 0, 0, 70, 0, 0, 2, 18, 90
"c:\Users\Airis\Desktop\Back\Data\DatabaseSeeder.cs", "C#", 0, 0, 143, 0, 0, 16, 43, 202
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\FobumCinemaUser.cs", "C#", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\LoginDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\LoginResponseDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\RegisterDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\UserDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Cinema\CinemaDto.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Airis\Desktop\Back\Data\Dtos\Cinema\CreateCinemaDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Cinema\UpdateCinemaDto.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Airis\Desktop\Back\Data\Dtos\CommentRating\CommentRatingDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\CommentRating\ManageCommentRatingDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Comment\CommentDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Comment\CreateCommentDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Comment\UpdateCommentDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\MovieMark\CreateMovieMarkDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\MovieMark\MovieMarkDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\CreateMovieDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\GeneralMovieDto.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\MovieDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\UpdateMovieDto.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Airis\Desktop\Back\Data\Dtos\Review\CreateReviewDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Review\ReviewDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Review\UpdateReviewDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Screening\CreateScreeningDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Screening\ScreeningDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Screening\UpdateScreeningDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Entities\Cinema.cs", "C#", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Airis\Desktop\Back\Data\Entities\Comment.cs", "C#", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Airis\Desktop\Back\Data\Entities\CommentRating.cs", "C#", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Airis\Desktop\Back\Data\Entities\Movie.cs", "C#", 0, 0, 17, 0, 0, 0, 11, 28
"c:\Users\Airis\Desktop\Back\Data\Entities\MovieMark.cs", "C#", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\Airis\Desktop\Back\Data\Entities\Review.cs", "C#", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Airis\Desktop\Back\Data\Entities\Screening.cs", "C#", 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Airis\Desktop\Back\Data\FobumCinemaContext.cs", "C#", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\Airis\Desktop\Back\Data\FobumCinemaProfile.cs", "C#", 0, 0, 37, 0, 0, 0, 9, 46
"c:\Users\Airis\Desktop\Back\Data\Repositories\CinemaRepository.cs", "C#", 0, 0, 48, 0, 0, 0, 11, 59
"c:\Users\Airis\Desktop\Back\Data\Repositories\CommentRatingRepository.cs", "C#", 0, 0, 46, 0, 0, 0, 10, 56
"c:\Users\Airis\Desktop\Back\Data\Repositories\CommentRepository.cs", "C#", 0, 0, 59, 0, 0, 0, 11, 70
"c:\Users\Airis\Desktop\Back\Data\Repositories\GeneralMovieRepository.cs", "C#", 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Airis\Desktop\Back\Data\Repositories\MovieMarkRepository.cs", "C#", 0, 0, 46, 0, 0, 0, 10, 56
"c:\Users\Airis\Desktop\Back\Data\Repositories\MovieRepository.cs", "C#", 0, 0, 55, 0, 0, 0, 14, 69
"c:\Users\Airis\Desktop\Back\Data\Repositories\ReviewRepository.cs", "C#", 0, 0, 59, 0, 0, 0, 11, 70
"c:\Users\Airis\Desktop\Back\Data\Repositories\ScreeningRepository.cs", "C#", 0, 0, 59, 0, 0, 0, 11, 70
"c:\Users\Airis\Desktop\Back\FobumCinema.csproj", "XML", 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\Airis\Desktop\Back\Migrations\20221125060028_Inil.Designer.cs", "C#", 0, 0, 99, 0, 0, 1, 31, 131
"c:\Users\Airis\Desktop\Back\Migrations\20221125060028_Inil.cs", "C#", 0, 0, 87, 0, 0, 0, 9, 96
"c:\Users\Airis\Desktop\Back\Migrations\20221127225147_identity.Designer.cs", "C#", 0, 0, 285, 0, 0, 1, 103, 389
"c:\Users\Airis\Desktop\Back\Migrations\20221127225147_identity.cs", "C#", 0, 0, 199, 0, 0, 0, 22, 221
"c:\Users\Airis\Desktop\Back\Migrations\20221207064224_add migration.Designer.cs", "C#", 0, 0, 315, 0, 0, 1, 113, 429
"c:\Users\Airis\Desktop\Back\Migrations\20221207064224_add migration.cs", "C#", 0, 0, 137, 0, 0, 0, 17, 154
"c:\Users\Airis\Desktop\Back\Migrations\20221207082143_test.Designer.cs", "C#", 0, 0, 316, 0, 0, 1, 113, 430
"c:\Users\Airis\Desktop\Back\Migrations\20221207082143_test.cs", "C#", 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\Airis\Desktop\Back\Migrations\20221207091724_present.Designer.cs", "C#", 0, 0, 315, 0, 0, 1, 113, 429
"c:\Users\Airis\Desktop\Back\Migrations\20221207091724_present.cs", "C#", 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\Airis\Desktop\Back\Migrations\20230303095701_new.Designer.cs", "C#", 0, 0, 299, 0, 0, 1, 106, 406
"c:\Users\Airis\Desktop\Back\Migrations\20230303095701_new.cs", "C#", 0, 0, 76, 0, 0, 0, 13, 89
"c:\Users\Airis\Desktop\Back\Migrations\20230310060242_fixedScreenings.Designer.cs", "C#", 0, 0, 299, 0, 0, 1, 105, 405
"c:\Users\Airis\Desktop\Back\Migrations\20230310060242_fixedScreenings.cs", "C#", 0, 0, 60, 0, 0, 0, 10, 70
"c:\Users\Airis\Desktop\Back\Migrations\20230425155936_AddedUrl.Designer.cs", "C#", 0, 0, 302, 0, 0, 1, 106, 409
"c:\Users\Airis\Desktop\Back\Migrations\20230425155936_AddedUrl.cs", "C#", 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\Airis\Desktop\Back\Migrations\20230503134001_removedCreatedTime.Designer.cs", "C#", 0, 0, 298, 0, 0, 1, 104, 403
"c:\Users\Airis\Desktop\Back\Migrations\20230503134001_removedCreatedTime.cs", "C#", 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Airis\Desktop\Back\Migrations\20240317125333_Comments.Designer.cs", "C#", 0, 0, 335, 0, 0, 1, 119, 455
"c:\Users\Airis\Desktop\Back\Migrations\20240317125333_Comments.cs", "C#", 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\Airis\Desktop\Back\Migrations\20240317134451_Comments2.Designer.cs", "C#", 0, 0, 336, 0, 0, 1, 119, 456
"c:\Users\Airis\Desktop\Back\Migrations\20240317134451_Comments2.cs", "C#", 0, 0, 80, 0, 0, 0, 16, 96
"c:\Users\Airis\Desktop\Back\Migrations\20240317143243_Comments3.Designer.cs", "C#", 0, 0, 329, 0, 0, 1, 115, 445
"c:\Users\Airis\Desktop\Back\Migrations\20240317143243_Comments3.cs", "C#", 0, 0, 46, 0, 0, 0, 10, 56
"c:\Users\Airis\Desktop\Back\Migrations\20240319181247_CommentRating.Designer.cs", "C#", 0, 0, 355, 0, 0, 1, 125, 481
"c:\Users\Airis\Desktop\Back\Migrations\20240319181247_CommentRating.cs", "C#", 0, 0, 40, 0, 0, 0, 5, 45
"c:\Users\Airis\Desktop\Back\Migrations\20240324141407_MovieMark.Designer.cs", "C#", 0, 0, 381, 0, 0, 1, 135, 517
"c:\Users\Airis\Desktop\Back\Migrations\20240324141407_MovieMark.cs", "C#", 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\Airis\Desktop\Back\Migrations\20240325183827_Review.Designer.cs", "C#", 0, 0, 408, 0, 0, 1, 145, 554
"c:\Users\Airis\Desktop\Back\Migrations\20240325183827_Review.cs", "C#", 0, 0, 40, 0, 0, 0, 5, 45
"c:\Users\Airis\Desktop\Back\Migrations\FobumCinemaContextModelSnapshot.cs", "C#", 0, 0, 406, 0, 0, 1, 145, 552
"c:\Users\Airis\Desktop\Back\Program.cs", "C#", 0, 0, 44, 0, 0, 0, 11, 55
"c:\Users\Airis\Desktop\Back\Properties\launchSettings.json", "JSON", 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\Airis\Desktop\Back\README.md", "Markdown", 6, 0, 0, 0, 0, 0, 10, 16
"c:\Users\Airis\Desktop\Back\Startup.cs", "C#", 0, 0, 85, 0, 0, 0, 11, 96
"c:\Users\Airis\Desktop\Back\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Airis\Desktop\Back\appsettings.json", "JSON", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Airis\Desktop\Back\bin\Debug\net5.0\FobumCinema.deps.json", "JSON", 0, 5150, 0, 0, 0, 0, 0, 5150
"c:\Users\Airis\Desktop\Back\bin\Debug\net5.0\FobumCinema.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Airis\Desktop\Back\bin\Debug\net5.0\FobumCinema.runtimeconfig.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Airis\Desktop\Back\bin\Debug\net5.0\appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Airis\Desktop\Back\bin\Debug\net5.0\appsettings.json", "JSON", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Airis\Desktop\Back\bin\Debug\net6.0\FobumCinema.deps.json", "JSON", 0, 1628, 0, 0, 0, 0, 0, 1628
"c:\Users\Airis\Desktop\Back\bin\Debug\net6.0\FobumCinema.runtimeconfig.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\Airis\Desktop\Back\bin\Debug\net6.0\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Airis\Desktop\Back\bin\Debug\net6.0\appsettings.json", "JSON", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Airis\Desktop\Back\bin\Debug\net6.0\package-lock.json", "JSON", 0, 39052, 0, 0, 0, 0, 1, 39053
"c:\Users\Airis\Desktop\Back\bin\Debug\net6.0\package.json", "JSON", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\FobumCinema.deps.json", "JSON", 0, 1628, 0, 0, 0, 0, 0, 1628
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\FobumCinema.runtimeconfig.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\appsettings.json", "JSON", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\package-lock.json", "JSON", 0, 39052, 0, 0, 0, 0, 1, 39053
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\package.json", "JSON", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\staticwebassets\FobumCinema.StaticWebAssets.xml", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\PresentConnection.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\PresentConnection.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\PresentConnection.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\project.razor.json", "JSON", 0, 18377, 0, 0, 0, 0, 0, 18377
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets\msbuild.build.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets\msbuild.buildMultiTargeting.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets\msbuild.buildTransitive.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Debug\netcoreapp3.1\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\netcoreapp3.1\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Airis\Desktop\Back\obj\FobumCinema.csproj.nuget.dgspec.json", "JSON", 0, 130, 0, 0, 0, 0, 0, 130
"c:\Users\Airis\Desktop\Back\obj\FobumCinema.csproj.nuget.g.props", "XML", 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\Airis\Desktop\Back\obj\FobumCinema.csproj.nuget.g.targets", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Airis\Desktop\Back\obj\PresentConnection.csproj.nuget.dgspec.json", "JSON", 0, 106, 0, 0, 0, 0, 0, 106
"c:\Users\Airis\Desktop\Back\obj\PresentConnection.csproj.nuget.g.props", "XML", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\Airis\Desktop\Back\obj\PresentConnection.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets\msbuild.build.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets\msbuild.buildMultiTargeting.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets\msbuild.buildTransitive.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\project.assets.json", "JSON", 0, 5181, 0, 0, 0, 0, 0, 5181
"c:\Users\Airis\Desktop\Back\package-lock.json", "JSON", 0, 39052, 0, 0, 0, 0, 1, 39053
"c:\Users\Airis\Desktop\Back\package.json", "JSON", 0, 45, 0, 0, 0, 0, 1, 46
"Total", "-", 6, 149693, 7810, 102, 67, 99, 2388, 160165